station,YYYY-MM-DD,radiation,metadata,,,,,,,,,,
BANKSTOWN,2/01/2011,25.6,,,,,,,,,,,
BANKSTOWN,3/01/2011,5.8,,,,,,,,,,,
BANKSTOWN,4/01/2011,10.6,,,,,,,,,,,
BANKSTOWN,5/01/2011,20.4,,,,,,,,,,,
BANKSTOWN,6/01/2011,26.9,,,,,,,,,,,
BANKSTOWN,7/01/2011,18.2,,,,,,,,,,,
BANKSTOWN,8/01/2011,26.9,,,,,,,,,,,
BANKSTOWN,9/01/2011,20.2,,,,,,,,,,,
BANKSTOWN,10/01/2011,16.6,,,,,,,,,,,
BANKSTOWN,11/01/2011,5.4,,,,,,,,,,,
BANKSTOWN,12/01/2011,21,,,,,,,,,,,
BANKSTOWN,13/01/2011,20.4,,,,,,,,,,,
BANKSTOWN,14/01/2011,22.3,,,,,,,,,,,
BANKSTOWN,15/01/2011,14.7,,,,,,,,,,,
BANKSTOWN,16/01/2011,24.3,,,,,,,,,,,
BANKSTOWN,17/01/2011,30.2,,,,,,,,,,,
BANKSTOWN,18/01/2011,19.3,,,,,,,,,,,
BANKSTOWN,19/01/2011,16.3,,,,,,,,,,,
BANKSTOWN,20/01/2011,26.3,,,,,,,,,,,
BANKSTOWN,21/01/2011,30.5,,,,,,,,,,,
BANKSTOWN,22/01/2011,30.8,,,,,,,,,,,
BANKSTOWN,23/01/2011,26.2,,,,,,,,,,,
BANKSTOWN,24/01/2011,15.9,,,,,,,,,,,
BANKSTOWN,25/01/2011,27.8,,,,,,,,,,,
BANKSTOWN,26/01/2011,21.8,,,,,,,,,,,
BANKSTOWN,27/01/2011,24,,,,,,,,,,,
BANKSTOWN,28/01/2011,14.4,,,,,,,,,,,
BANKSTOWN,29/01/2011,23,,,,,,,,,,,
BANKSTOWN,30/01/2011,30.5,,,,,,,,,,,
BANKSTOWN,31/01/2011,29.8,,,,,,,,,,,
BANKSTOWN,1/02/2011,29.8,,,,,,,,,,,
BANKSTOWN,2/02/2011,27.7,,,,,,,,,,,
BANKSTOWN,3/02/2011,17.4,,,,,,,,,,,
BANKSTOWN,4/02/2011,23.1,,,,,,,,,,,
BANKSTOWN,5/02/2011,26.5,,,,,,,,,,,
BANKSTOWN,6/02/2011,7.9,,,,,,,,,,,
BANKSTOWN,7/02/2011,11.7,,,,,,,,,,,
BANKSTOWN,8/02/2011,13.5,,,,,,,,,,,
BANKSTOWN,9/02/2011,14,,,,,,,,,,,
BANKSTOWN,10/02/2011,17.2,,,,,,,,,,,
BANKSTOWN,11/02/2011,21.4,,,,,,,,,,,
BANKSTOWN,12/02/2011,3.2,,,,,,,,,,,
BANKSTOWN,13/02/2011,4.6,,,,,,,,,,,
BANKSTOWN,14/02/2011,7.9,,,,,,,,,,,
BANKSTOWN,15/02/2011,12.9,,,,,,,,,,,
BANKSTOWN,16/02/2011,12.6,,,,,,,,,,,
BANKSTOWN,17/02/2011,17.9,,,,,,,,,,,
BANKSTOWN,18/02/2011,11.5,,,,,,,,,,,
BANKSTOWN,19/02/2011,20.9,,,,,,,,,,,
BANKSTOWN,20/02/2011,18.5,,,,,,,,,,,
BANKSTOWN,21/02/2011,18,,,,,,,,,,,
BANKSTOWN,22/02/2011,16.3,,,,,,,,,,,
BANKSTOWN,23/02/2011,17.3,,,,,,,,,,,
