model_name,with_radiation,segment,rmse,mae,mape_pct,r2
prophet,True,overall,520.9564430043939,367.33513132996575,4.539006893422947,0.8262626415899659
prophet,True,Summer,747.2458770050874,519.5567065173611,5.955603213533923,0.7598019798708839
prophet,True,Autumn,386.2486969054801,284.08239876041665,3.7229260316812556,0.8457742495468157
prophet,True,Winter,440.5151546641044,346.0816242850997,4.096741550108325,0.8567989849347999
prophet,True,Spring,435.09871459259284,322.4409805350275,4.4101517511723225,0.7528970472282703
prophet,True,below_18,388.9063439681374,292.6057944277272,3.702337145584427,0.904721936059633
prophet,True,above_18,619.3641478874395,437.1314575833977,5.320446647972204,0.7501733103023304
prophet,False,overall,521.2071156235596,367.7735066410959,4.544028586398518,0.8260954042817525
prophet,False,Summer,748.0275799767339,523.4365455738426,6.013381960857334,0.7592991688879407
prophet,False,Autumn,388.0073079266573,285.273929490942,3.7370192478193767,0.8443666561835718
prophet,False,Winter,439.5934314854617,344.23033897033514,4.073451855687471,0.8573976186267003
prophet,False,Spring,434.334280958796,321.0291002628205,4.382447428963398,0.7537645647185539
prophet,False,below_18,387.01412985088695,290.551480133554,3.673441098732677,0.9056468266442823
prophet,False,above_18,620.8771820530785,439.8979758187438,5.357147113072619,0.7489512246563147
random_forest,True,overall,493.6967783209122,322.4514120820744,3.927903268154292,0.8439689707979023
random_forest,True,Summer,716.0304615212092,474.360665739519,5.403391775133017,0.7794508615890814
random_forest,True,Autumn,340.3620463337159,225.3611615507979,2.870575520223703,0.8802418468777626
random_forest,True,Winter,376.392223122868,282.14520634935576,3.2811975777016404,0.8954544209661244
random_forest,True,Spring,458.48839545237064,311.11779831413526,4.191388001156191,0.7256158436661883
random_forest,True,below_18,332.6042708490317,234.08262431247454,2.8773458565963703,0.9303119180233105
random_forest,True,above_18,606.6799315931399,404.9868258494421,4.909111597902783,0.7603011409832019
random_forest,False,overall,502.0500425921539,326.32226680640946,3.962717213048967,0.8386442659850973
random_forest,False,Summer,739.3819697908825,487.8616932376924,5.5170940558073465,0.7648309958158671
random_forest,False,Autumn,339.62762393800404,224.82683767546817,2.8667878589164912,0.8807581099540988
random_forest,False,Winter,375.60132799418983,281.2897867943854,3.2740101839581723,0.8958933127046114
random_forest,False,Spring,459.42086047610144,314.69610485407287,4.229669206546623,0.7244986341292743
random_forest,False,below_18,334.51882834240234,234.02221592782456,2.8772678498516844,0.9295073231528255
random_forest,False,above_18,618.8327817585133,412.52943431758143,4.976514217355425,0.7506017900492665
